week,Frontline Socialist Party,Eelam People's Revolutionary Liberation Front,Jathika Hela Urumaya,Democratic People's Front,National Union of Workers,National Freedom Front,Tamil Eelam Liberation Organization,Janatha Vimukthi Peramuna,Eelam People's Democratic Party,All Ceylon Muslim Congress,Sri Lanka Muslim Congress,Illankai Tamil Arasu Kachchi,Sri Lanka Freedom Party,United National Party
1,5,8,2,8,8,8,8,1,6,8,3,8,6,4
2,9,10,2,10,6,10,6,1,5,10,4,10,8,3
3,7,11,2,11,11,7,6,1,5,11,9,9,3,3
4,9,11,2,11,11,7,8,1,5,11,4,10,3,6
5,8,10,2,10,10,10,7,1,5,10,5,9,3,4
6,7,10,2,10,10,10,7,1,9,10,4,6,3,4
7,8,9,2,9,9,9,9,1,6,9,5,7,4,3
8,8,7,2,10,10,10,10,1,6,10,4,9,5,3
9,9,8,2,7,11,11,11,1,5,11,5,10,4,3
10,9,8,3,7,11,11,11,1,6,11,5,10,4,2
11,8,11,3,7,12,12,12,1,6,10,5,9,4,2
12,6,11,3,8,12,12,12,1,7,9,4,9,5,2
13,8,8,3,6,10,10,10,1,7,10,4,10,5,2
14,6,6,2,10,6,10,10,1,9,10,4,10,5,3
