week,Ravi Karunanayake,Anura Kumara Disanayaka,Harsha De Silva,Eran Wickramaratne,Bandula Gunawardane,Thilanga Sumathipala,Wijeyadasa Rajapakshe,Ranil Wickremasinghe,Wimal Weerawansa,Champika Ranawaka,Mahinda Rajapaksa,Sajith Premadasa,Rajitha Senaratne,Mangala Samaraweera,Rauff Hakeem,Nimal Siripala de Silva,John Seneviratne,Susil Premajayantha
1,5,9,15,7,9,9,15,3,4,2,1,9,7,5,9,15,15,9
2,7,11,11,11,11,10,11,4,3,2,1,5,8,6,11,8,18,17
3,6,13,5,10,14,11,6,4,3,2,1,8,14,11,8,14,18,14
4,5,10,10,7,10,10,5,3,4,2,1,8,9,10,10,18,10,17
5,7,17,10,11,11,11,4,3,5,2,1,7,6,11,9,17,15,16
6,11,17,10,7,14,7,12,3,4,2,1,14,7,5,6,17,12,16
7,8,17,10,16,10,8,10,3,5,2,1,7,4,6,10,17,10,10
8,11,17,6,16,11,11,8,4,8,2,1,6,3,8,5,17,11,11
9,9,17,5,10,10,15,5,3,4,2,1,10,5,10,10,17,16,8
10,10,18,5,7,10,15,7,3,4,2,1,7,5,10,17,10,16,10
11,6,18,14,10,11,11,14,3,4,2,1,9,8,7,14,14,11,5
12,6,13,9,13,13,13,9,2,4,3,1,7,4,11,8,18,13,11
13,4,14,7,8,16,13,9,2,5,3,1,9,5,15,9,16,18,12
14,6,14,6,8,15,9,11,3,4,2,1,12,5,15,10,15,18,13
15,6,12,9,11,17,12,8,2,5,3,1,6,4,9,12,12,17,12
